Reykjavík;6667;11600;17679;28304;38196;56251;72407;81693;83766;97569
Kópavogur;.;.;.;.;.;.;6213;11165;13819;16186
Seltjarnarnes;.;.;.;.;.;.;.;.;3100;4143
Garðabær;.;.;.;.;.;.;.;.;4909;6954
Hafnarfjörður;.;1547;2366;3591;3686;5087;7160;9696;12205;15151
Kópavogshreppur;.;.;.;.;.;1647;.;.;.;.
Seltjarnarneshreppur;491;440;440;1062;627;686;1310;2153;.;.
Mosfellsbær;335;313;268;373;492;605;727;986;2928;4259
Kjalarneshreppur;470;258;254;225;195;261;225;201;290;469
Kjósarhreppur;258;376;340;312;287;276;273;258;201;167
Grindavík;.;.;.;.;.;.;.;.;1929;2172
Keflavík;.;.;.;.;.;2395;4700;5663;6622;7525
Njarðvík;.;.;.;.;.;.;.;.;2008;2405
Grindavíkurhreppur;391;358;438;505;509;527;740;1169;.;.
Hafnahreppur;182;200;170;153;144;186;250;182;143;127
Miðneshreppur;341;377;448;500;551;613;924;1050;1124;1253
Rosmhvalaneshreppur;953;.;.;.;.;.;.;.;.;.
Gerðahreppur;.;647;536;396;442;506;625;621;912;1074
Keflavíkurhreppur;.;575;650;976;1578;.;.;.;.;.
Njarðvíkurhreppur;210;.;.;.;.;568;1312;1512;.;.
Vatnsleysustrandarhreppur;441;432;339;289;254;298;373;387;564;646
Garðahreppur;932;264;226;347;379;583;1013;2868;.;.
Bessastaðahreppur;311;208;169;155;120;159;165;218;480;1082
Akranes;.;.;.;.;.;2583;3822;4253;5200;5230
Ólafsvík;.;.;.;.;.;.;.;.;.;1216
Hvalfjarðarstrandarhreppur;213;203;184;170;157;198;189;181;163;158
Skilmannahreppur;118;108;103;83;99;88;129;126;130;152
Innri-Akraneshreppur;291;232;206;188;143;149;143;117;116;138
Ytri-Akraneshreppur;747;808;929;1270;1840;.;.;.;.;.
Leirár- og Melahreppur;197;220;177;155;132;147;143;152;153;157
Andakílshreppur;289;326;299;272;266;213;249;236;273;250
Skorradalshreppur;137;152;134;132;132;109;99;65;69;64
Lundarreykjadalshreppur;145;156;120;116;118;101;120;117;120;101
Reykholtsdalshreppur;244;235;215;187;270;256;272;312;317;265
Hálsahreppur;139;121;112;102;104;88;85;101;107;93
Hvítársíðuhreppur;153;135;131;124;126;89;99;107;86;73
Þverárhlíðarhreppur;135;129;114;122;93;77;85;101;95;78
Norðurárdalshreppur;175;185;154;139;121;113;134;129;132;113
Stafholtstungnahreppur;302;287;290;250;216;227;219;221;190;196
Borgarhreppur;378;478;307;251;251;198;182;183;175;144
Borgarnes;.;.;361;428;642;774;883;1157;1619;1725
Álftaneshreppur;268;237;215;202;172;142;127;135;123;104
Hraunhreppur;274;302;308;248;193;161;154;112;117;110
Kolbeinsstaðahreppur;243;231;193;220;220;168;144;143;149;128
Eyjahreppur;81;116;115;105;97;94;91;80;70;65
Miklaholtshreppur;170;196;193;170;175;149;156;166;142;112
Staðarsveit;274;297;276;247;244;190;180;153;128;97
Breiðuvíkurhreppur;248;181;174;226;239;180;144;120;103;59
Neshreppur utan Ennis;381;491;641;614;485;348;456;587;627;617
Neshreppur innan Ennis;807;705;.;.;.;.;.;.;.;.
Ólafsvíkurhreppur;.;.;442;438;473;468;806;995;1180;.
Fróðárhreppur;.;.;177;144;93;62;45;30;26;.
Eyrarsveit;298;457;453;394;379;391;542;722;788;817
Helgafellssveit;281;267;261;197;191;110;105;102;87;90
Stykkishólmur;453;721;733;605;675;856;906;1042;1205;1209
Skógarstrandarhreppur;269;271;231;176;181;117;124;83;92;57
Hörðudalshreppur;178;175;153;136;121;87;76;61;54;45
Miðdalahreppur;345;343;304;227;199;184;168;173;153;100
Haukadalshreppur;178;157;161;168;118;70;104;90;69;48
Laxárdalshreppur;293;322;345;264;235;208;277;358;411;388
Hvammshreppur;188;211;196;142;135;123;111;110;108;91
Fellsstrandarhreppur;187;189;169;172;141;101;94;81;83;82
Skarðsstrandarhreppur;397;333;.;.;.;.;.;.;.;.
Klofningshreppur;.;.;116;104;103;65;48;35;30;.
Skarðshreppur Dalasýslu;.;.;170;139;123;81;72;73;52;55
Saurbæjarhreppur Dalasýslu;296;291;240;250;234;210;190;196;142;110
Bolungarvík;.;.;.;.;.;.;.;.;1266;1187
Ísafjarðarbær;1111;1854;1980;2533;2833;2808;2725;2680;3352;3498
Geiradalshreppur;111;111;104;87;101;93;95;118;91;.
Reykhólahreppur;311;311;275;241;247;243;226;205;225;360
Gufudalshreppur;172;172;176;154;143;81;69;68;49;.
Múlahreppur;170;150;138;126;110;88;58;31;21;.
Flateyjarhreppur;433;397;355;314;276;187;79;53;30;.
Barðastrandarhreppur;303;321;335;338;261;192;209;196;188;150
Rauðasandshreppur;813;465;435;331;300;175;154;125;110;92
Patrekshreppur;.;475;436;606;716;860;911;996;1032;926
Tálknafjarðarhreppur;325;321;332;275;248;180;212;236;340;371
Ketildalahreppur;262;209;246;204;178;73;58;33;26;.
Suðurfjarðahreppur;469;449;482;443;417;438;437;362;349;.
Bíldudalshreppur;.;.;.;.;.;.;.;.;.;372
Auðkúluhreppur;319;294;253;201;154;90;53;41;33;.
Þingeyrarhreppur;630;755;790;706;645;486;471;463;477;487
Mýrahreppur Skaftafellssýslu;502;414;389;344;313;216;196;163;146;77
Mosvallahreppur;718;608;705;254;216;176;147;100;95;71
Flateyrarhreppur;.;.;.;392;490;459;529;455;459;396
Suðureyrarhreppur;179;361;444;436;437;411;430;503;500;365
Hólshreppur;546;1021;953;816;751;784;858;978;.;.
Eyrarhreppur;539;592;677;557;442;402;367;397;.;.
Súðavíkurhreppur;535;581;529;444;335;305;259;255;253;229
Ögurhreppur;380;383;277;261;194;125;127;63;51;36
Reykjarfjarðarhreppur;237;198;185;126;157;105;99;121;93;43
Nauteyrarhreppur;273;220;231;179;160;107;81;79;70;59
Snæfjallahreppur;362;223;163;145;119;63;48;41;39;13
Grunnavíkurhreppur;396;281;255;255;223;77;33;.;.;.
Sléttuhreppur;439;463;476;470;405;34;-;-;-;-
Árneshreppur;444;431;479;434;515;408;287;216;176;121
Kaldrananeshreppur;342;322;325;383;473;478;347;228;193;167
Hrófbergshreppur;201;230;258;344;473;70;59;47;28;.
Hólmavíkurhreppur;.;.;.;.;.;443;420;331;398;475
Kirkjubólshreppur;251;220;186;168;137;111;105;100;80;57
Fellshreppur;99;114;108;99;102;100;78;75;66;66
Óspakseyrarhreppur;109;120;97;104;95;70;71;67;58;46
Bæjarhreppur Strandasýslu;366;320;323;301;287;228;209;224;185;134
Sauðárkrókskaupstaður;.;.;.;.;.;1023;1205;1600;2188;2534
Siglufjörður;.;.;1159;2022;2884;3015;2680;2161;2003;1815
Staðarhreppur V-Húnavatnssýslu;187;150;148;151;134;105;125;146;135;103
Fremri-Torfustaðahreppur;306;236;256;212;174;138;125;105;88;78
Ytri-Torfustaðahreppur;227;304;292;242;196;180;206;226;258;216
Hvammstangahreppur;.;.;.;.;314;305;336;361;591;706
Kirkjuhvammshreppur;331;412;474;496;253;208;228;179;160;109
Þverárhreppur;359;303;331;283;239;159;178;166;141;106
Þorkelshólshreppur;258;260;296;264;212;182;183;206;198;163
