"Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. desember 1997-2014"

"Sveitarfélag";"Aldur";"2004 Alls";"2005 Alls";"2006 Alls";"2007 Alls";"2008 Alls";"2009 Alls";"2010 Alls";"2011 Alls";"2012 Alls";"2013 Alls";"2014 Alls"
"Alls";"Alls";293291;299404;307261;312872;319756;317593;318236;319412;321585;325449;328910
"Reykjavík";"Alls";113730;114800;116446;117721;119848;118427;118908;118785;119632;121116;121814
"Kópavogur";"Alls";25784;26468;27536;28561;29957;30314;30697;31139;31676;32303;33095
"Seltjarnarnes";"Alls";4547;4461;4467;4428;4410;4406;4327;4304;4332;4376;4415
"Garðabær";"Alls";9036;9423;9529;9913;10358;10587;10895;11270;11450;14137;14450
"Hafnarfjörður";"Alls";21942;22451;23674;24839;25837;25872;26045;26434;26763;27325;27818
"Sveitarfélagið Álftanes";"Alls";2024;2183;2278;2361;2510;2524;2479;2412;2417;-;-
"Mosfellsbær";"Alls";6782;7157;7501;8147;8469;8527;8631;8822;8950;9084;9296
"Kjalarneshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Kjósarhreppur";"Alls";145;162;181;191;196;195;204;219;204;219;216
"Reykjanesbær";"Alls";10954;11346;11928;13256;14208;14081;13933;14156;14233;14524;14918
"Grindavíkurbær";"Alls";2479;2624;2697;2760;2849;2841;2821;2827;2850;2889;2977
"Sandgerði";"Alls";1398;1535;1663;1723;1750;1711;1677;1664;1579;1602;1586
"Sveitarfélagið Garður";"Alls";1322;1376;1486;1451;1542;1520;1456;1484;1428;1412;1432
"Sveitarfélagið Vogar";"Alls";939;1018;1106;1225;1215;1195;1165;1130;1106;1128;1109
"Akranes";"Alls";5655;5782;5955;6345;6630;6555;6600;6586;6636;6697;6753
"Hvalfjarðarstrandarhreppur";"Alls";147;147;-;-;-;-;-;-;-;-;-
"Skilmannahreppur";"Alls";167;214;-;-;-;-;-;-;-;-;-
