"Mannfjöldi eftir kyni, aldri og sveitarfélögum 1998-2015 - Sveitarfélagaskipan 1. janúar 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sveitarfélag,Aldur,1998 Karlar,1998 Konur,1999 Karlar,1999 Konur,2000 Karlar,2000 Konur,2001 Karlar,2001 Konur,2002 Karlar,2002 Konur,2003 Karlar,2003 Konur,2004 Karlar,2004 Konur,2005 Karlar,2005 Konur,2006 Karlar,2006 Konur,2007 Karlar,2007 Konur,2008 Karlar,2008 Konur,2009 Karlar,2009 Konur,2010 Karlar,2010 Konur,2011 Karlar,2011 Konur,2012 Karlar,2012 Konur,2013 Karlar,2013 Konur,2014 Karlar,2014 Konur
Alls,Alls,136444,135937,138086,137626,139665,139384,141870,141491,143450,143125,144287,144184,145401,145169,147170,146407,151202,148689,156576,151096,160896,154563,162068,157300,159936,157694,160006,158446,160364,159211,161438,160419,163318,162353
Reykjavík,Alls,52561,54780,53219,55265,53902,55985,54784,56760,55203,57208,55213,57341,55623,57665,55978,57870,56729,58239,57910,58732,59479,59348,59731,59816,58689,59637,58989,59909,58939,59875,59351,60413,60078,61152
Kópavogur,Alls,9860,10007,10629,10879,11207,11486,11683,11964,12039,12252,12425,12591,12618,12734,12836,12967,13168,13344,13775,13750,14540,14345,15056,14920,15084,15273,15263,15516,15517,15688,15738,15988,16061,16247
Seltjarnarnes,Alls,2281,2321,2332,2366,2321,2344,2298,2375,2288,2371,2276,2332,2267,2310,2250,2298,2213,2258,2237,2234,2209,2245,2204,2199,2181,2214,2134,2186,2116,2197,2134,2188,2167,2214
Garðabær,Alls,4636,4580,4701,4615,4732,4646,4822,4789,5094,5119,5205,5270,5319,5445,5497,5588,5823,5826,5938,5894,6189,6171,6451,6425,6528,6638,6607,6786,6760,6942,6845,7027,6985,7195
Hafnarfjörður,Alls,9045,9151,9275,9381,9499,9659,9786,9902,10068,10196,10267,10453,10519,10688,10898,11102,11175,11323,11803,11948,12645,12391,13061,12789,12986,12927,12990,13109,13105,13381,13273,13535,13521,13836
Mosfellsbær,Alls,2625,2621,2749,2791,2918,2951,3043,3070,3156,3167,3254,3219,3324,3265,3424,3393,3604,3561,3822,3694,4330,3862,4376,4027,4412,4141,4438,4204,4537,4317,4608,4370,4659,4416
Kjósarhreppur,Alls,69,69,71,71,74,68,81,70,76,64,79,67,78,62,80,63,95,68,106,76,107,84,112,84,113,84,117,93,118,102,114,91,122,99
Reykjanesbær,Alls,5323,5082,5316,5127,5394,5230,5521,5335,5584,5353,5527,5396,5521,5387,5550,5402,5765,5602,6184,5768,7005,6435,7300,6872,7223,6868,7134,6837,7160,6977,7217,7014,7368,7159
Grindavíkurbær,Alls,1121,1013,1135,1044,1163,1079,1192,1122,1205,1136,1231,1148,1242,1192,1276,1218,1325,1289,1380,1321,1436,1343,1464,1386,1469,1368,1456,1365,1460,1370,1484,1376,1509,1379
Sandgerði,Alls,672,647,689,647,670,655,701,658,720,680,734,667,736,653,727,671,798,740,866,794,915,834,920,834,894,816,882,801,875,797,831,750,846,763
Sveitarfélagið Garður,Alls,577,564,597,589,595,588,609,609,607,606,617,616,658,632,686,643,713,664,793,694,777,683,814,736,803,712,761,691,775,702,766,663,749,660
Sveitarfélagið Vogar,Alls,382,334,379,336,398,334,414,370,449,390,461,405,475,457,485,452,526,493,578,534,646,585,649,569,640,566,617,544,592,534,573,532,578,549
Akranes,Alls,2606,2519,2645,2541,2745,2595,2801,2649,2826,2684,2866,2729,2864,2724,2904,2753,3000,2786,3120,2856,3358,3043,3440,3169,3364,3185,3388,3235,3368,3224,3373,3252,3411,3288
