Fyrir,Eftir,Ártal
Sléttuhreppur,Ísafjarðarkaupstaður,1995
Grunnavíkurhreppur,Snæfjallahreppur,1964
Eyrarhreppur,Ísafjarðarkaupstaður,1971
Hnífsdalur,Ísafjarðarkaupstaður,1971
Flateyjarhreppur S-Þing,Hálshreppur,1972
Loðmundarfjarðarhreppur,Borgarfjarðarhreppur,1972
Dyrhólahreppur,Mýrdalshreppur,1984
Hvammshreppur V-Skaftafellssýslu,Mýrdalshreppur,1984
Klofningshreppur,Fellsstrandarhreppur,1986
Geiradalshreppur,Reykhólahreppur,1987
Reykhólahreppur,Reykhólahreppur,1987
Gufudalshreppur,Reykhólahreppur,1987
Múlahreppur,Reykhólahreppur,1987
Flateyjarhreppur,Reykhólahreppur,1987
Ketildalahreppur,Bíldudalshreppur,1987
Suðurfjarðarhreppur,Bíldudalshreppur,1987
Hrófbergshreppur,Hólmavíkurhreppur,1987
Haganeshreppur,Fljótahreppur,1988
Holtshreppur,Fljótahreppur,1988
Helgustaðahreppur,Eskifjarðarkaupstaður,1988
Selvogshreppur,Ölfushreppur,1989
Fróðárhreppur,Ólafsvíkurkaupstaður,1990
Auðkúluhreppur,Þingeyrarhreppur,1990
Seyðisfjarðarhreppur,Seyðisfjörður,1990
Hofsóshreppur,Hofshreppur,1990
Fellshreppur,Hofshreppur,1990
Hörgslandshreppur,Skaftárhreppur,1990
Kirkjubæjarhreppur,Skaftárhreppur,1990
Skaftártunguhreppur,Skaftárhreppur,1990
Leiðvallarhreppur,Skaftárhreppur,1990
Álftavershreppur,Skaftárhreppur,1990
Hrafnagilshreppur,Eyjafjarðarsveit,1991
Saurbæjarhreppur Eyjafjarðarsýslu,Eyjafjarðarsveit,1991
Öngulsstaðahreppur,Eyjafjarðarsveit,1991
Presthólahreppur,Öxarfjarðarhreppur,1991
Hörðudalshreppur,Suðurdalahreppur,1992
Miðdalahreppur,Suðurdalahreppur,1992
Fellshreppur í Strandasýslu,Broddaneshreppur,1992
Óspakseyrarhreppur,Broddaneshreppur,1992
Beruneshreppur,Djúpavogshreppur,1992
Geithellnahreppur,Djúpavogshreppur,1992
Búlandshreppur,Djúpavogshreppur,1992
Landmannahreppur,Holta- og Landsveit,1993
Holtahreppur,Holta- og Landsveit,1994
Fjallahreppur,Öxarfjarðarhreppur,1994
Suðurdalahreppur,Dalabyggð,1994
Haukadalshreppur,Dalabyggð,1994
Laxárdalshreppur,Dalabyggð,1994
Hvammshreppur,Dalabyggð,1994
Fellsstrandarhreppur,Dalabyggð,1994
Skarðshreppur Dalasýslu,Dalabyggð,1994
Staðarsveit,Snæfellsbær,1994
Breiðuvíkurhreppur,Snæfellsbær,1994
Neshreppur,Snæfellsbær,1994
Ólafsvík,Snæfellsbær,1994
Hafnahreppur,Reykjanesbær,1994
Keflavík,Reykjanesbær,1994
Njarðvík,Reykjanesbær,1994
Norðfjarðarhreppur,Neskaupstaður,1994
Barðastrandarhreppur,Vesturbyggð,1994
Rauðasandshreppur,Vesturbyggð,1994
Patrekshreppur,Vesturbyggð,1994
Bíldudalshreppur,Vesturbyggð,1994
Sauðaneshreppur,Þórshafnarhreppur,1994
Norðurárdalshreppur,Borgarbyggð,1994
Stafholtstungnahreppur,Borgarbyggð,1994
Borgarnesbær,Borgarbyggð,1994
Hraunhreppur,Borgarbyggð,1994
Eyjahreppur,Eyja- og Miklaholtshreppur,1994
Miklaholtshreppur,Eyja- og Miklaholtshreppur,1994
Nauteyrarhreppur,Hólmavíkurhreppur,1994
Hólmavíkurhreppur í Strandasýslu,Hólmavíkurhreppur,1994
Snæfjallahreppur í N-Ísafjarðarsýslu,Ísafjarðarkaupstaður,1994
Helgafellssveit,Stykkishólmur,1994
Höfn,Hornafjarðarbær,1994
Nesjahreppur,Hornafjarðarbær,1994
Mýrahreppur Skaftafellssýslu,Hornafjarðarbær,1994
Ögurhreppur,Súðavíkurhreppur,1995
Reykjarfjarðarhreppur,Súðavíkurhreppur,1995
Ísafjarðarkaupstaður,Ísafjarðarbær,1996
Þingeyrarhreppur,Ísafjarðarbær,1996
Mýrahreppur V-Ísafjarðarsýslu,Ísafjarðarbær,1996
Flateyrarhreppur,Ísafjarðarbær,1996
Mosvallahreppur,Ísafjarðarbær,1996
Suðureyrarhreppur,Ísafjarðarbær,1996
Hlíðarhreppur,Norður- Hérað,1997
Jökuldalshreppur,Norður- Hérað,1997
Tunguhreppur,Norður- Hérað,1997
Skógarstrandarhreppur,Dalabyggð,1998
Kjalarneshreppur,Reykjavík,1998
Skriðdalshreppur,Austur- Hérað,1998
Vallahreppur,Austur- Hérað,1998
Egilsstaðir,Austur- Hérað,1998
Eiðahreppur,Austur- Hérað,1998
Hjaltastaðarhreppur,Austur- Hérað,1998
Dalvík,Dalvíkurbyggð,1998
Svarfaðardalshreppur,Dalvíkurbyggð,1998
Árskógshreppur,Dalvíkurbyggð,1998
Grímsneshreppur,Grímsnes- og Grafningshreppur,1998
Grafningshreppur,Grímsnes- og Grafningshreppur,1998
Sauðárkrókskaupstaður,Sveitarfélagið Skagafjörður,1998
