"Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. desember 1997-2014"

"Sveitarfélag";"Aldur";"1997 Alls";"1998 Alls";"1999 Alls";"2000 Alls";"2001 Alls";"2002 Alls";"2003 Alls";"2004 Alls";"2005 Alls";"2006 Alls";"2007 Alls";"2008 Alls";"2009 Alls";"2010 Alls";"2011 Alls";"2012 Alls";"2013 Alls";"2014 Alls"
"Alls";"Alls";272064;275277;278702;282845;286275;288201;290490;293291;299404;307261;312872;319756;317593;318236;319412;321585;325449;328910
"Reykjavík";"Alls";106617;108362;109795;111342;112276;112490;113387;113730;114800;116446;117721;119848;118427;118908;118785;119632;121116;121814
"Höfuðborgarsvæði";"Alls";57758;59594;61719;62724;65754;67291;68501;70260;72305;75166;78440;81737;82425;83278;84600;85792;87444;89290
"Suðurnes";"Alls";15685;15823;16050;16491;16725;16793;16932;17092;17899;18880;20415;21564;21348;21052;21261;21196;21555;22022
"Vesturland";"Alls";13934;13962;14056;14263;14449;14495;14431;14418;14863;14409;14769;15079;14759;14754;14752;14786;14817;14916
"Vestfirðir";"Alls";8634;8590;8308;8150;8012;7930;7835;7698;7546;6963;6809;6884;6857;6628;6541;6508;6485;6491
"Norðurland vestra";"Alls";8172;7973;7888;7873;7800;7757;7713;7598;7526;6989;6908;6969;6971;6961;6797;6857;6833;6720
"Norðurland eystra";"Alls";28371;28254;28066;28181;28279;28355;28382;28404;28477;25776;26130;26420;26308;26464;26478;26489;26536;26719
"Austurland";"Alls";12397;12145;11977;11768;11654;11617;11756;12298;13585;15350;13901;12882;12451;12306;12359;12433;12545;12507
"Suðurland";"Alls";20496;20574;20843;21119;21326;21473;21553;21793;22403;22366;22902;23584;23286;23215;23123;23191;23411;23737
