Sveitarfélag;2002;2014
Alls;27025;113290
Reykjavíkurborg;40482;157020
Kópavogsbær;20597;75542
Seltjarnarneskaupstaður;16183;58975
Garðabær;13532;67455
Hafnarfjarðarkaupstaður;18406;94595
Mosfellsbær;17292;136411
Kjósarhreppur;8415;38655
Reykjanesbær;21807;96921
Grindavíkurbær;15393;101518
Sandgerðisbær;20492;89934
Sveitarfélagið Garður;13547;60581
Sveitarfélagið Vogar;8563;81561
Akraneskaupstaður;18386;112441
Skorradalshreppur;0;0
Hvalfjarðarsveit;13387;117551
Borgarbyggð;15616;85602
Grundarfjarðarbær;15554;68654
Helgafellssveit;109732;40698
Stykkishólmsbær;9098;62519
Eyja- og Miklaholtshreppur;1728;32236
Snæfellsbær;21678;71461
Dalabyggð;14846;28432
Bolungarvíkurkaupstaður;16372;91465
Ísafjarðarbær;16065;49926
Reykhólahreppur;3866;67991
Tálknafjarðarhreppur;11373;37625
Vesturbyggð;12874;44106
Súðavíkurhreppur;10813;95903
Árneshreppur;1221;18677
Kaldrananeshreppur;17439;41492
Strandabyggð;11456;59271
Sveitarfélagið Skagafjörður;10632;53758
Húnaþing vestra;9723;54308
Blönduósbær ;34002;73087
Sveitarfélagið Skagaströnd;17388;65883
Skagabyggð;9415;77454
Húnavatnshreppur;21280;60908
Akrahreppur;0;98232
Akureyrarkaupstaður;26472;159315
Norðurþing;12322;55681
Fjallabyggð;17072;50403
Dalvíkurbyggð;20172;60677
Eyjafjarðarsveit;10907;43451
Hörgársveit;8800;44108
Svalbarðsstrandarhreppur;10647;38704
Grýtubakkahreppur;21849;65987
Skútustaðahreppur;20712;49044
Tjörneshreppur;12418;95254
Þingeyjarsveit;16712;43036
Svalbarðshreppur;35934;40684
Langanesbyggð;12994;38489
Seyðisfjarðarkaupstaður;13852;42038
Fjarðabyggð;18366;69339
Vopnafjarðarhreppur;13913;36652
Fljótsdalshreppur;8595;41572
Borgarfjarðarhreppur;10407;30718
Breiðdalshreppur;21614;42772
Djúpavogshreppur;10104;29081
Fljótsdalshérað;19454;112648
Sveitarfélagið Hornafjörður;17185;84497
Vestmannaeyjabær;17157;71280
Sveitarfélagið Árborg;25055;84332
Mýrdalshreppur;19089;40143
Skaftárhreppur;13280;46262
Ásahreppur;7307;31105
Rangárþing eystra;14164;36117
Rangárþing ytra;13702;53311
Hrunamannahreppur;22344;63039
Hveragerðisbær;15554;76612
Sveitarfélagið Ölfus;18893;102587
Grímsnes- og Grafningshreppur;19451;77985
Skeiða- og Gnúpverjahreppur;18620;55094
Bláskógabyggð;15599;57045
Flóahreppur;5618;53292
