"Skólasókn á framhaldsskólastigi eftir kyni, aldri og landsvæðum 1999-2013",,,,,,,,,,,,
,,,,,,,,,,,,
Ár,Kyn,Aldur,Fjöldi Alls,Fjöldi Reykjavík,Fjöldi Höfuðborgarsvæði utan Reykjavíkur,Fjöldi Suðurnes,Fjöldi Vesturland,Fjöldi Vestfirðir,Fjöldi Norðurland vestra,Fjöldi Norðurland eystra,Fjöldi Austurland,Fjöldi Suðurland
1999,Alls,15 ára,40,23,10,0,2,0,2,0,2,1
1999,Alls,16 ára,3830,1355,920,232,200,129,138,351,190,315
1999,Alls,17 ára,3332,1200,799,169,179,100,126,329,147,283
1999,Alls,18 ára,2981,1069,720,155,162,108,134,278,129,226
1999,Alls,19 ára,2843,1088,634,140,152,80,110,286,126,227
1999,Alls,20 ára,1509,529,340,88,100,54,60,172,62,104
1999,Alls,21 árs,936,369,180,48,71,19,37,102,48,62
1999,Alls,22 ára,661,288,149,37,30,17,20,46,29,45
1999,Alls,23 ára,502,201,99,25,24,18,18,49,31,37
1999,Alls,24 ára,420,188,95,19,20,6,17,31,19,25
1999,Alls,25-29 ára,1283,554,278,73,62,16,43,107,60,90
1999,Alls,30-39 ára,1210,494,228,73,74,38,44,108,56,95
1999,Alls,40 ára og eldri,771,284,170,56,47,31,18,71,45,49
2000,Alls,15 ára,48,15,11,1,1,1,1,7,5,6
2000,Alls,16 ára,3675,1268,877,204,233,119,143,335,189,307
2000,Alls,17 ára,3342,1201,826,194,167,104,121,301,159,269
2000,Alls,18 ára,3002,1107,737,141,159,86,107,288,131,246
2000,Alls,19 ára,2780,1003,671,135,155,91,116,262,126,221
2000,Alls,20 ára,1618,573,353,94,106,48,67,177,79,121
2000,Alls,21 árs,983,363,199,60,65,29,47,120,41,59
2000,Alls,22 ára,652,260,134,31,45,14,20,68,34,46
2000,Alls,23 ára,498,218,100,27,27,15,13,40,25,33
2000,Alls,24 ára,382,156,79,19,22,11,13,38,22,22
2000,Alls,25-29 ára,1221,537,236,59,58,26,36,142,64,63
2000,Alls,30-39 ára,1174,456,207,69,79,54,47,111,69,82
2000,Alls,40 ára og eldri,869,324,163,58,47,35,22,83,83,54
2001,Alls,15 ára,57,28,12,0,1,4,1,6,2,3
2001,Alls,16 ára,3501,1127,888,201,206,126,133,345,169,306
2001,Alls,17 ára,3326,1157,824,180,188,101,132,305,169,270
2001,Alls,18 ára,3071,1125,766,166,156,101,109,275,135,238
2001,Alls,19 ára,2894,1087,712,132,150,90,100,269,117,237
2001,Alls,20 ára,1589,570,366,80,95,53,77,143,73,132
2001,Alls,21 árs,1127,445,247,51,50,40,48,105,69,72
2001,Alls,22 ára,774,327,159,46,40,27,25,84,25,41
2001,Alls,23 ára,582,237,119,31,32,21,23,50,23,46
2001,Alls,24 ára,399,154,95,27,18,9,11,40,18,27
2001,Alls,25-29 ára,1269,565,253,78,58,34,31,107,50,93
2001,Alls,30-39 ára,1167,443,233,67,77,36,40,107,58,106
2001,Alls,40 ára og eldri,1027,376,160,70,52,48,37,130,78,76
2002,Alls,15 ára,44,22,9,3,2,2,0,4,1,1
2002,Alls,16 ára,3549,1196,847,193,220,113,121,374,156,329
2002,Alls,17 ára,3208,1059,823,167,176,116,112,315,160,280
2002,Alls,18 ára,3006,1079,734,145,171,94,115,264,148,256
2002,Alls,19 ára,2976,1115,736,163,142,86,104,262,140,228
2002,Alls,20 ára,1745,627,419,87,95,48,67,172,82,148
2002,Alls,21 árs,1100,419,231,62,64,39,41,105,51,88
2002,Alls,22 ára,900,366,192,40,47,22,35,91,58,49
2002,Alls,23 ára,629,260,150,37,26,19,14,58,33,32
2002,Alls,24 ára,481,209,106,21,30,18,14,37,20,26
2002,Alls,25-29 ára,1358,588,275,85,59,34,49,110,59,99
2002,Alls,30-39 ára,1222,471,255,76,68,50,27,109,64,102
2002,Alls,40 ára og eldri,1035,359,201,84,53,37,51,110,76,64
2003,Alls,15 ára,50,21,17,1,1,1,2,6,1,0
2003,Alls,16 ára,3846,1310,962,267,205,118,134,377,150,323
2003,Alls,17 ára,3264,1101,798,171,202,105,104,346,142,295
2003,Alls,18 ára,2955,966,783,160,154,112,109,286,139,246
2003,Alls,19 ára,2874,1055,720,154,144,99,105,237,135,225
2003,Alls,20 ára,1663,584,412,101,80,58,65,159,70,134
2003,Alls,21 árs,1130,418,236,70,61,28,62,111,55,89
2003,Alls,22 ára,828,352,168,53,38,24,31,72,35,55
2003,Alls,23 ára,761,329,137,47,39,21,31,68,45,44
2003,Alls,24 ára,510,219,104,31,25,15,12,53,19,32
2003,Alls,25-29 ára,1337,579,270,88,65,32,41,110,61,91
2003,Alls,30-39 ára,1369,510,296,92,68,44,43,123,74,119
2003,Alls,40 ára og eldri,1190,430,228,81,56,40,58,124,97,76
2004,Alls,15 ára,55,27,17,1,1,0,0,4,3,2
2004,Alls,16 ára,4344,1451,1133,263,256,125,149,427,197,343
2004,Alls,17 ára,3488,1188,901,224,183,110,117,339,138,288
2004,Alls,18 ára,2938,1016,721,147,183,98,91,299,123,260
2004,Alls,19 ára,2723,931,698,142,149,97,96,267,113,230
2004,Alls,20 ára,1586,550,388,98,99,55,57,137,71,131
2004,Alls,21 árs,1056,390,255,78,53,31,35,85,52,77
2004,Alls,22 ára,897,356,202,45,44,33,40,74,40,63
2004,Alls,23 ára,646,257,144,34,30,17,25,53,36,50
2004,Alls,24 ára,592,246,121,30,29,13,21,61,34,37
2004,Alls,25-29 ára,1442,625,298,80,75,48,35,118,66,97
2004,Alls,30-39 ára,1451,553,321,89,85,54,32,120,79,118
2004,Alls,40 ára og eldri,1274,465,240,80,67,76,39,121,108,78
2005,Alls,15 ára,38,22,8,0,1,2,1,2,0,2
2005,Alls,16 ára,4271,1455,1095,266,222,105,139,407,212,370
2005,Alls,17 ára,3921,1310,1047,225,232,112,134,387,170,304
2005,Alls,18 ára,3080,1095,793,187,163,92,97,283,119,251
2005,Alls,19 ára,2708,974,657,131,167,86,84,273,104,232
2005,Alls,20 ára,1449,505,351,93,86,47,45,137,52,133
2005,Alls,21 árs,1046,380,244,69,74,26,32,91,54,76
2005,Alls,22 ára,824,331,174,54,33,23,24,78,38,69
2005,Alls,23 ára,671,302,138,30,31,15,20,57,36,42
2005,Alls,24 ára,520,214,98,36,32,15,24,40,30,31
2005,Alls,25-29 ára,1669,686,352,106,103,45,53,162,63,99
2005,Alls,30-39 ára,1567,570,323,100,99,53,41,162,77,142
2005,Alls,40 ára og eldri,1448,511,272,100,92,76,33,170,107,87
2006,Alls,15 ára,71,17,15,0,4,4,2,21,0,8
2006,Alls,16 ára,4498,1513,1210,252,238,108,132,506,177,362
2006,Alls,17 ára,3865,1306,1002,250,192,99,108,383,190,335
2006,Alls,18 ára,3495,1204,952,194,196,98,105,339,159,248
2006,Alls,19 ára,2865,998,772,175,130,84,78,290,100,238
2006,Alls,20 ára,1440,510,320,89,90,43,43,146,60,139
2006,Alls,21 árs,954,333,256,57,44,29,36,83,32,84
2006,Alls,22 ára,776,293,182,39,46,25,20,77,39,55
2006,Alls,23 ára,705,265,151,43,36,21,14,70,33,72
2006,Alls,24 ára,530,236,125,16,28,10,16,51,23,25
2006,Alls,25-29 ára,1750,751,366,101,93,47,55,156,66,115
2006,Alls,30-39 ára,1656,597,370,115,105,39,35,192,73,130
