Nemendur í grunnskólum eftir kyni og landsvæðum 1997-2014,,,
,,,
Ár,Landsvæði,Kyn,Alls
1997,Alls,Alls,42318
1997,Höfuðborgarsvæði,Alls,24031
1997,Reykjavík,Alls,14520
1997,Hbsv. utan Reykjavíkur,Alls,9511
1997,Suðurnes,Alls,2674
1997,Vesturland,Alls,2458
1997,Vestfirðir,Alls,1431
1997,Norðurland vestra,Alls,1637
1997,Norðurland eystra,Alls,4365
1997,Austurland,Alls,2161
1997,Suðurland,Alls,3561
1998,Alls,Alls,42421
1998,Höfuðborgarsvæði,Alls,24429
1998,Reykjavík,Alls,14746
1998,Hbsv. utan Reykjavíkur,Alls,9683
1998,Suðurnes,Alls,2677
1998,Vesturland,Alls,2431
1998,Vestfirðir,Alls,1386
1998,Norðurland vestra,Alls,1544
1998,Norðurland eystra,Alls,4370
1998,Austurland,Alls,2065
1998,Suðurland,Alls,3519
1999,Alls,Alls,43030
1999,Höfuðborgarsvæði,Alls,25098
1999,Reykjavík,Alls,14917
1999,Hbsv. utan Reykjavíkur,Alls,10181
1999,Suðurnes,Alls,2701
1999,Vesturland,Alls,2445
1999,Vestfirðir,Alls,1340
1999,Norðurland vestra,Alls,1527
1999,Norðurland eystra,Alls,4322
1999,Austurland,Alls,1986
1999,Suðurland,Alls,3611
2000,Alls,Alls,43644
2000,Höfuðborgarsvæði,Alls,25710
2000,Reykjavík,Alls,15235
2000,Hbsv. utan Reykjavíkur,Alls,10475
2000,Suðurnes,Alls,2760
2000,Vesturland,Alls,2461
2000,Vestfirðir,Alls,1340
2000,Norðurland vestra,Alls,1472
2000,Norðurland eystra,Alls,4323
2000,Austurland,Alls,1902
2000,Suðurland,Alls,3676
2001,Alls,Alls,44103
2001,Höfuðborgarsvæði,Alls,26141
2001,Reykjavík,Alls,15431
2001,Hbsv. utan Reykjavíkur,Alls,10710
2001,Suðurnes,Alls,2802
2001,Vesturland,Alls,2482
2001,Vestfirðir,Alls,1272
2001,Norðurland vestra,Alls,1462
2001,Norðurland eystra,Alls,4404
2001,Austurland,Alls,1893
2001,Suðurland,Alls,3647
2002,Alls,Alls,44695
2002,Höfuðborgarsvæði,Alls,26612
2002,Reykjavík,Alls,15479
2002,Hbsv. utan Reykjavíkur,Alls,11133
2002,Suðurnes,Alls,2863
2002,Vesturland,Alls,2470
2002,Vestfirðir,Alls,1279
2002,Norðurland vestra,Alls,1455
2002,Norðurland eystra,Alls,4433
2002,Austurland,Alls,1919
2002,Suðurland,Alls,3664
2003,Alls,Alls,44809
2003,Höfuðborgarsvæði,Alls,26755
2003,Reykjavík,Alls,15442
2003,Hbsv. utan Reykjavíkur,Alls,11313
2003,Suðurnes,Alls,2833
2003,Vesturland,Alls,2465
2003,Vestfirðir,Alls,1249
2003,Norðurland vestra,Alls,1415
2003,Norðurland eystra,Alls,4422
2003,Austurland,Alls,1958
2003,Suðurland,Alls,3712
2004,Alls,Alls,44511
2004,Höfuðborgarsvæði,Alls,26690
2004,Reykjavík,Alls,15369
2004,Hbsv. utan Reykjavíkur,Alls,11321
2004,Suðurnes,Alls,2830
2004,Vesturland,Alls,2399
2004,Vestfirðir,Alls,1246
2004,Norðurland vestra,Alls,1371
2004,Norðurland eystra,Alls,4410
2004,Austurland,Alls,1892
2004,Suðurland,Alls,3673
2005,Alls,Alls,44336
2005,Höfuðborgarsvæði,Alls,26457
2005,Reykjavík,Alls,15073
2005,Hbsv. utan Reykjavíkur,Alls,11384
2005,Suðurnes,Alls,2983
2005,Vesturland,Alls,2474
2005,Vestfirðir,Alls,1190
2005,Norðurland vestra,Alls,1352
2005,Norðurland eystra,Alls,4360
2005,Austurland,Alls,1849
2005,Suðurland,Alls,3671
2006,Alls,Alls,43875
2006,Höfuðborgarsvæði,Alls,26228
2006,Reykjavík,Alls,14850
2006,Hbsv. utan Reykjavíkur,Alls,11378
2006,Suðurnes,Alls,3060
2006,Vesturland,Alls,2398
2006,Vestfirðir,Alls,1147
2006,Norðurland vestra,Alls,1294
2006,Norðurland eystra,Alls,4220
2006,Austurland,Alls,1882
2006,Suðurland,Alls,3646
2007,Alls,Alls,43841
2007,Höfuðborgarsvæði,Alls,26250
2007,Reykjavík,Alls,14597
2007,Hbsv. utan Reykjavíkur,Alls,11653
2007,Suðurnes,Alls,3184
2007,Vesturland,Alls,2423
2007,Vestfirðir,Alls,1096
2007,Norðurland vestra,Alls,1268
2007,Norðurland eystra,Alls,4145
