Framlög til sveitarfélaga 2006-2014  ,,
,,
Ár,Sveitarfélag,Framlög á íbúa Alls
2006,Reykjavíkurborg,9164
2006,Kópavogsbær,9095
2006,Seltjarnarneskaupstaður,11722
2006,Garðabær,7192
2006,Hafnarfjarðarkaupstaður,16886
2006,Sveitarfélagið Álftanes,62251
2006,Mosfellsbær,38747
2006,Kjósarhreppur,94467
2006,Reykjanesbær,60857
2006,Grindavíkurbær,86111
2006,Sandgerðisbær,77970
2006,Sveitarfélagið Garður,123842
2006,Sveitarfélagið Vogar,130083
2006,Akraneskaupstaður,43977
2006,Hvalfjarðarstrandarhreppur,110602
2006,Skilmannahreppur,67941
2006,Innri-Akraneshreppur,80110
2006,Leirár- og Melahreppur,158530
2006,Skorradalshreppur,19134
2006,Borgarfjarðarsveit,188729
2006,Hvalfjarðarsveit,.
2006,Hvítársíðuhreppur,333407
2006,Borgarbyggð,120512
2006,Kolbeinsstaðahreppur,329097
2006,Grundarfjarðarbær,140269
2006,Helgafellssveit,64012
2006,Stykkishólmsbær,135330
2006,Eyja- og Miklaholtshreppur,102459
2006,Snæfellsbær,141764
2006,Saurbæjarhreppur,241661
2006,Dalabyggð,236106
2006,Bolungarvíkurkaupstaður,146529
2006,Ísafjarðarbær,107462
2006,Reykhólahreppur,285489
2006,Tálknafjarðarhreppur,241088
2006,Vesturbyggð,232440
2006,Súðavíkurhreppur,245715
2006,Árneshreppur,233361
2006,Kaldrananeshreppur,235857
2006,Bæjarhreppur,307903
2006,Broddaneshreppur,225382
2006,Hólmavíkurhreppur,215889
2006,Strandabyggð,.
2006,Siglufjarðarkaupstaður,160164
2006,Sveitarfélagið Skagafjörður,124552
2006,Húnaþing vestra,211121
2006,Áshreppur,287068
2006,Blönduóssbær,179464
2006,Sveitarfélagið Skagaströnd,155350
2006,Skagabyggð,273793
2006,Húnavatnshreppur,254347
2006,Akrahreppur,149351
2006,Akureyrarkaupstaður,54625
2006,Húsavíkurbær (Norðurþing),126104
2006,Fjallabyggð,.
2006,Ólafsfjarðarbær,134661
2006,Dalvíkurbyggð,158015
2006,Grímseyjarhreppur,140608
2006,Arnarneshreppur,132029
2006,Eyjafjarðarsveit,179192
2006,Hörgárbyggð,222617
2006,Hörgársveit,.
2006,Svalbarðsstrandarhreppur,186458
2006,Grýtubakkahreppur,149718
2006,Skútustaðahreppur,182086
2006,Aðaldælahreppur,152872
2006,Tjörneshreppur,152301
2006,Þingeyjarsveit,252810
2006,Kelduneshreppur,125011
2006,Öxarfjarðarhreppur,282793
2006,Raufarhafnarhreppur,320694
2006,Svalbarðshreppur,158676
2006,Þórshafnarhreppur,112041
2006,Langanesbyggð,.
2006,Seyðisfjarðarkaupstaður,155649
2006,Fjarðabyggð,99200
2006,Skeggjastaðahreppur,341857
2006,Vopnafjarðarhreppur,145778
2006,Fljótsdalshreppur,-8321
2006,Borgarfjarðarhreppur,240890
2006,Mjóafjarðarhreppur,68003
2006,Fáskrúðsfjarðarhreppur,144895
2006,Breiðdalshreppur,217698
2006,Djúpavogshreppur,166455
2006,Austubyggð,145070
2006,Fljótsdalshérað,47680
2006,Sveitarfélagið Hornafjörður,178522
2006,Vestmannaeyjabær,92616
2006,Sveitarfélagið Árborg,57922
2006,Mýrdalshreppur,152293
2006,Skaftárhreppur,220739
2006,Ásahreppur,90181
2006,Rangárþing eystra,175943
2006,Rangárþing ytra,148065
2006,Gaulverjabæjarhreppur,139131
2006,Hraungerðishreppur,201127
