Sveitarfélag,Framlög á íbúa,Útsvar,Framlög til félagsþjónustu á íbúa,Framlög til heilbrigðismála á íbúa,Framlög til menningarmála á íbúa,Framlög til æskulýðs og íþróttamála á íbúa
Reykjavík,27973,-196792,40482,124,12745,23052
Kópavogur,22939,-198735,20597,65,8201,20137
Seltjarnarnes,36841,-223837,16183,20,8370,42443
Garðabær,39961,-217000,13532,0,5365,26895
Hafnarfjörður,36632,-192228,18406,22,9531,26630
Mosfellsbær,63127,-179603,17292,175,8529,23551
Kjósarhreppur,54492,-135871,8415,170,29912,266
Reykjanesbær,129738,-186685,21807,775,8302,30367
Grindavík,138213,-179757,15393,1653,20147,36383
Sandgerði,118864,-164957,20492,178,8436,38495
Sveitarfélagið Garður,228796,-173425,13547,178,5889,40194
Sveitarfélagið Vogar,264519,-165811,8563,54,6471,29881
Akranes,102939,-192073,18386,596,17122,22910
Skorradalshreppur,4810,0,0,0,0,0
Hvalfjarðarsveit,5829,-80163,13387,0,34879,10556
Borgarbyggð,207387,-153672,15616,14,13448,31347
Grundarfjarðarbær,155329,-171355,15554,0,12178,21927
Helgafellssveit,194316,-136446,109732,411,0,9304
Stykkishólmur,153891,-195570,9098,406,14692,66696
Eyja- og Miklaholtshreppur,226690,-131373,1728,0,17618,0
Snæfellsbær,214457,-195097,21678,5717,16823,18490
Dalabyggð,363151,-131963,14846,0,22822,19631
Bolungarvík,204078,-183144,16372,2481,24306,32405
Ísafjarðarbær,186981,-190054,16065,0,11078,30132
Reykhólahreppur,484409,-162661,3866,2661,16380,19455
Tálknafjarðarhreppur,309684,-180668,11373,364,5350,54416
Vesturbyggð,284426,-181722,12874,482,14475,18286
Súðavíkurhreppur,521200,-186502,10813,681,3260,18689
Árneshreppur,275569,-143458,1221,8102,153,0
Kaldrananeshreppur,343792,-199212,17439,0,7273,8939
Strandabyggð,348165,-157603,11456,1487,13411,28787
Sveitarfélagið Skagafjörður,175774,-170396,10632,2559,12922,41223
Húnaþing vestra,394916,-147708,9723,8802,23079,29463
Blönduósbær,236078,-183616,34002,2222,13769,49211
Sveitarfélagið Skagaströnd,177200,-209850,17388,431,10811,37797
Skagabyggð,411611,-101020,9415,1515,29752,594
Húnavatnshreppur,270520,-129158,21280,2891,28735,475
Akrahreppur,378373,0,0,0,0,0
Akureyri,76218,-184003,26472,1319,13734,26978
Norðurþing,193680,-174971,12322,476,9758,28330
Fjallabyggð,164976,-202276,17072,1087,14979,46656
Dalvíkurbyggð,205133,-174677,20172,2101,8021,46428
Eyjafjarðarsveit,269017,-146992,10907,307,16579,14100
Hörgársveit,273098,-101300,8800,369,11233,13609
Svalbarðsstrandarhreppur,163464,-156222,10647,1348,4145,13462
Grýtubakkahreppur,218447,-200745,21849,801,11537,28041
Skútustaðahreppur,140544,-178393,20712,1675,29629,49946
Tjörneshreppur,83729,-142836,12418,433,15761,881
Þingeyjarsveit,323556,-141083,16712,132,17954,3109
Svalbarðshreppur,197190,-136300,35934,2758,4792,35058
Langanesbyggð,319526,-188497,12994,2022,14092,59828
Seyðisfjörður,149589,-190068,13852,527,16446,53307
Fjarðabyggð,79959,-206568,18366,245,18680,43017
Vopnafjarðarhreppur,243610,-186020,13913,0,13033,27224
Fljótsdalshreppur,9038,-121857,8595,536,7798,30786
Borgarfjarðarhreppur,431560,-194200,10407,350,23679,800
Breiðdalshreppur,230514,-161517,21614,281,9857,31864
Djúpavogshreppur,335135,-176636,10104,820,9742,39862
Fljótsdalshérað,195738,-162574,19454,436,9346,21507
Sveitarfélagið Hornafjörður,212486,-178547,17185,138,13250,25122
Vestmannaeyjar,71710,-205480,17157,2272,13849,35074
Sveitarfélagið Árborg,114921,-179629,25055,970,10683,17282
Mýrdalshreppur,240755,-156114,19089,158,13817,5225
Skaftárhreppur,230023,-140370,13280,177,23294,2216
Ásahreppur,8902,-131150,7307,93,13993,33343
Rangárþing eystra,209403,-138397,14164,59,30810,17818
Rangárþing ytra,185894,-156774,13702,58,13521,38033
Hrunamannahreppur,193728,-136129,22344,0,5779,17883
Hveragerði,177526,-166344,15554,3712,9336,32315
Sveitarfélagið Ölfus,137511,-171001,18893,3,24421,32429
Grímsnes- og Grafningshreppur,20794,-138651,19451,11,25470,34886
Skeiða- og Gnúpverjahreppur,87850,-141085,18620,0,29293,30718
Bláskógabyggð,136166,-150061,15599,365,19352,23344
Flóahreppur,297211,-136152,5618,569,23419,2799
Alls,0,-189839,27025,471,12109,25906
