Sveitarfélag,Útsvar,Framlög til félagsþjónustu á íbúa,Framlög til heilbrigðismála á íbúa,Framlög til menningarmála á íbúa,Framlög til æskulýðs og íþróttamála á íbúa
Reykjavík,429352,157020,571,30346,60199
Kópavogur,435689,75542,50,14623,60818
Seltjarnarnes,491270,58975,1369,21325,89856
Garðabær,455822,67455,360,11267,82247
Hafnarfjörður,412543,94595,2668,12825,57353
Mosfellsbær,413940,136411,0,15527,71216
Kjósarhreppur,381387,38655,0,42697,5973
Reykjanesbær,352288,96921,0,22186,50705
Grindavík,383907,101518,134,23251,105221
Sandgerði,372477,89934,0,25827,105383
Sveitarfélagið Garður,358084,60581,0,27932,75234
Sveitarfélagið Vogar,356726,81561,565,28518,94877
Akranes,414086,112441,0,27097,55499
Skorradalshreppur,0,0,0,0,0
Hvalfjarðarsveit,406905,117551,566,41924,37476
Borgarbyggð,349540,85602,0,33072,72295
Grundarfjarðarbær,434374,68654,0,21599,55475
Helgafellssveit,321547,40698,585,0,47075
Stykkishólmur,418143,62519,0,37431,130001
Eyja- og Miklaholtshreppur,350708,32236,0,14688,0
Snæfellsbær,475360,71461,0,23516,79155
Dalabyggð,309468,28432,0,74379,55560
Bolungarvík,429140,91465,2994,33427,60910
Ísafjarðarbær,387198,49926,1957,31427,82774
Reykhólahreppur,370827,67991,1183,32116,82225
Tálknafjarðarhreppur,383645,37625,275,26021,123985
Vesturbyggð,397808,44106,1791,41974,95447
Súðavíkurhreppur,425211,95903,5557,41438,38598
Árneshreppur,361653,18677,0,43645,1546
Kaldrananeshreppur,392777,41492,0,24822,150223
Strandabyggð,400385,59271,2194,49242,134643
Sveitarfélagið Skagafjörður,398485,53758,1672,33350,78734
Húnaþing vestra,355285,54308,944,50165,72179
Blönduósbær,383124,73087,2300,28735,170746
Sveitarfélagið Skagaströnd,455279,65883,0,43645,1546
Skagabyggð,281015,77454,0,24822,150223
Húnavatnshreppur,314318,60908,6362,31784,19246
Akrahreppur,264242,98232,4155,89289,57623
Akureyri,401437,159315,4468,38005,90174
Norðurþing,438847,55681,112,18018,62902
Fjallabyggð,451031,50403,2919,30991,108281
Dalvíkurbyggð,409748,60677,1596,44132,136393
Eyjafjarðarsveit,362737,43451,827,35550,78678
Hörgársveit,356871,44108,0,47072,84357
Svalbarðsstrandarhreppur,403897,38704,1279,13095,57918
Grýtubakkahreppur,428331,65987,1713,11826,98618
Skútustaðahreppur,436223,49044,1080,40816,110419
Tjörneshreppur,336678,95254,1678,55779,1356
Þingeyjarsveit,338629,43036,1662,56271,38773
Svalbarðshreppur,340755,40684,1020,8765,55817
Langanesbyggð,378078,38489,4958,30197,116804
Seyðisfjörður,434565,42038,0,53569,73566
Fjarðabyggð,492910,69339,1649,35580,131794
Vopnafjarðarhreppur,424054,36652,0,31219,62795
Fljótsdalshreppur,317187,41572,0,144026,210708
Borgarfjarðarhreppur,308919,30718,3393,9000,31222
Breiðdalshreppur,396906,42772,2523,28352,43302
Djúpavogshreppur,425746,29081,0,17770,145354
Fljótsdalshérað,401909,112648,1064,31826,68176
Sveitarfélagið Hornafjörður,438597,84497,1621,28110,87757
Vestmannaeyjar,455192,71280,756,30041,76135
Sveitarfélagið Árborg,373752,84332,0,18174,67614
Mýrdalshreppur,386280,40143,180,40234,72096
Skaftárhreppur,377391,46262,0,38149,129029
Ásahreppur,283662,31105,0,18463,55310
Rangárþing eystra,346454,36117,0,75049,70532
Rangárþing ytra,366194,53311,0,14296,96232
Hrunamannahreppur,346551,63039,0,22703,39555
Hveragerði,339691,76612,0,21362,68787
Sveitarfélagið Ölfus,406670,102587,766,32900,108095
Grímsnes- og Grafningshreppur,293430,77985,71,37762,156643
Skeiða- og Gnúpverjahreppur,388405,55094,0,76853,73304
Bláskógabyggð,343206,57045,0,13907,45083
Flóahreppur,337876,53292,0,69636,11593
Alls,417035,113290,923,26221,68441
