Sveitarfélag;2002;2014
Alls;471;923
Reykjavíkurborg;124;571
Kópavogsbær;65;50
Seltjarnarneskaupstaður;20;1369
Garðabær;0;360
Hafnarfjarðarkaupstaður;22;2668
Mosfellsbær;175;0
Kjósarhreppur;170;0
Reykjanesbær;775;0
Grindavíkurbær;1653;134
Sandgerðisbær;178;0
Sveitarfélagið Garður;178;0
Sveitarfélagið Vogar;54;565
Akraneskaupstaður;596;0
Skorradalshreppur;0;0
Hvalfjarðarsveit;0;566
Borgarbyggð;14;0
Grundarfjarðarbær;0;0
Helgafellssveit;411;585
Stykkishólmsbær;406;0
Eyja- og Miklaholtshreppur;0;0
Snæfellsbær;5717;0
Dalabyggð;0;0
Bolungarvíkurkaupstaður;2481;2994
Ísafjarðarbær;0;1957
Reykhólahreppur;2661;1183
Tálknafjarðarhreppur;364;275
Vesturbyggð;482;1791
Súðavíkurhreppur;681;5557
Árneshreppur;8102;0
Kaldrananeshreppur;0;0
Strandabyggð;1487;2194
Sveitarfélagið Skagafjörður;2559;1672
Húnaþing vestra;8802;944
Blönduósbær ;2222;2300
Sveitarfélagið Skagaströnd;431;0
Skagabyggð;1515;0
Húnavatnshreppur;2891;6362
Akrahreppur;0;4155
Akureyrarkaupstaður;1319;4468
Norðurþing;476;112
Fjallabyggð;1087;2919
Dalvíkurbyggð;2101;1596
Eyjafjarðarsveit;307;827
Hörgársveit;369;0
Svalbarðsstrandarhreppur;1348;1279
Grýtubakkahreppur;801;1713
Skútustaðahreppur;1675;1080
Tjörneshreppur;433;1678
Þingeyjarsveit;132;1662
Svalbarðshreppur;2758;1020
Langanesbyggð;2022;4958
Seyðisfjarðarkaupstaður;527;0
Fjarðabyggð;245;1649
Vopnafjarðarhreppur;0;0
Fljótsdalshreppur;536;0
Borgarfjarðarhreppur;350;3393
Breiðdalshreppur;281;2523
Djúpavogshreppur;820;0
Fljótsdalshérað;436;1064
Sveitarfélagið Hornafjörður;138;1621
Vestmannaeyjabær;2272;756
Sveitarfélagið Árborg;970;0
Mýrdalshreppur;158;180
Skaftárhreppur;177;0
Ásahreppur;93;0
Rangárþing eystra;59;0
Rangárþing ytra;58;0
Hrunamannahreppur;0;0
Hveragerðisbær;3712;0
Sveitarfélagið Ölfus;3;766
Grímsnes- og Grafningshreppur;11;71
Skeiða- og Gnúpverjahreppur;0;0
Bláskógabyggð;365;0
Flóahreppur;569;0
