Sveitarfélag;2002;2014
Alls;25906;68441
Reykjavíkurborg;23052;60199
Kópavogsbær;20137;60818
Seltjarnarneskaupstaður;42443;89856
Garðabær;26895;82247
Hafnarfjarðarkaupstaður;26630;57353
Mosfellsbær;23551;71216
Kjósarhreppur;266;5973
Reykjanesbær;30367;50705
Grindavíkurbær;36383;105221
Sandgerðisbær;38495;105383
Sveitarfélagið Garður;40194;75234
Sveitarfélagið Vogar;29881;94877
Akraneskaupstaður;22910;55499
Skorradalshreppur;0;0
Hvalfjarðarsveit;10556;37476
Borgarbyggð;31347;72295
Grundarfjarðarbær;21927;55475
Helgafellssveit;9304;47075
Stykkishólmsbær;66696;130001
Eyja- og Miklaholtshreppur;0;0
Snæfellsbær;18490;79155
Dalabyggð;19631;55560
Bolungarvíkurkaupstaður;32405;60910
Ísafjarðarbær;30132;82774
Reykhólahreppur;19455;82225
Tálknafjarðarhreppur;54416;123983
Vesturbyggð;18286;95447
Súðavíkurhreppur;18689;38598
Árneshreppur;0;1546
Kaldrananeshreppur;8939;150223
Strandabyggð;28787;134643
Sveitarfélagið Skagafjörður;41223;78734
Húnaþing vestra;29463;72179
Blönduósbær ;49211;170746
Sveitarfélagið Skagaströnd;37797;69793
Skagabyggð;594;7386
Húnavatnshreppur;475;19246
Akrahreppur;0;57623
Akureyrarkaupstaður;26978;90174
Norðurþing;28330;62902
Fjallabyggð;46656;108281
Dalvíkurbyggð;46428;136393
Eyjafjarðarsveit;14100;78678
Hörgársveit;13609;84357
Svalbarðsstrandarhreppur;13462;57918
Grýtubakkahreppur;28041;98618
Skútustaðahreppur;49946;110419
Tjörneshreppur;881;1356
Þingeyjarsveit;3109;38773
Svalbarðshreppur;35058;55817
Langanesbyggð;59828;116804
Seyðisfjarðarkaupstaður;53307;73566
Fjarðabyggð;43017;131794
Vopnafjarðarhreppur;27224;62795
Fljótsdalshreppur;30786;210708
Borgarfjarðarhreppur;800;31222
Breiðdalshreppur;31864;43302
Djúpavogshreppur;39862;145354
Fljótsdalshérað;21507;68176
Sveitarfélagið Hornafjörður;25122;87757
Vestmannaeyjabær;35074;76135
Sveitarfélagið Árborg;17282;67614
Mýrdalshreppur;5225;72098
Skaftárhreppur;2216;129029
Ásahreppur;33343;55310
Rangárþing eystra;17818;70532
Rangárþing ytra;38033;96232
Hrunamannahreppur;17883;39555
Hveragerðisbær;32315;68787
Sveitarfélagið Ölfus;32429;108095
Grímsnes- og Grafningshreppur;34886;156643
Skeiða- og Gnúpverjahreppur;30718;73304
Bláskógabyggð;23344;45083
Flóahreppur;2799;11593
