"Meðalatvinnutekjur í aðalstarfi eftir landshlutum, atvinnugreinum og kyni 1998-2005",,,,,,,,,
,,,,,,,,,
Landshlutar,Atvinnugreinar,Alls 1998,Alls 1999,Alls 2000,Alls 2001,Alls 2002,Alls 2003,Alls 2004,Alls 2005
Alls,Alls,1818,1966,2133,2360,2526,2639,2722,2945
Alls,Landbúnaður (A),794,862,925,1095,1209,1288,1055,996
Alls,Fiskveiðar (B),3630,3678,3732,4408,4941,4464,4372,4399
Alls,Fiskvinnsla (DA 1520),1575,1764,1923,2160,2361,2546,2828,3164
Alls,Opinber stjórnsýsla (L),1903,2103,2243,2499,2741,2928,2966,3183
Höfuðborgarsvæði,Alls,1902,2066,2265,2493,2659,2795,2908,3123
Höfuðborgarsvæði,Landbúnaður (A),1266,1436,1617,1808,1917,2021,1949,2011
Höfuðborgarsvæði,Fiskveiðar (B),4237,4245,4470,5084,5562,5015,4734,4897
Höfuðborgarsvæði,Fiskvinnsla (DA 1520),1579,1847,2021,2278,2524,2766,3729,4202
Höfuðborgarsvæði,Opinber stjórnsýsla (L),2231,2526,2736,3017,3268,3483,3389,3347
Utan höfuðborgarsvæðis,Alls,1699,1817,1929,2154,2320,2391,2427,2653
Utan höfuðborgarsvæðis,Landbúnaður (A),742,800,849,1015,1112,1191,943,834
Utan höfuðborgarsvæðis,Fiskveiðar (B),3479,3535,3551,4245,4782,4323,4288,4304
Utan höfuðborgarsvæðis,Fiskvinnsla (DA 1520),1581,1759,1915,2150,2346,2520,2696,2980
Utan höfuðborgarsvæðis,Opinber stjórnsýsla (L),1555,1697,1793,2026,2237,2372,2497,2910
Vesturland,Alls,1713,1834,1965,2192,2329,2401,2479,2711
Vesturland,Landbúnaður (A),685,746,760,888,968,1060,811,684
Vesturland,Fiskveiðar (B),3370,3549,3510,4158,4438,4085,4001,3839
Vesturland,Fiskvinnsla (DA 1520),1566,1701,1844,2070,2321,2428,2878,3293
Vesturland,Opinber stjórnsýsla (L),1556,1712,1789,2118,2234,2322,2469,2903
Vestfirðir,Alls,1713,1844,1912,2089,2265,2301,2347,2564
Vestfirðir,Landbúnaður (A),621,666,679,809,892,949,661,486
Vestfirðir,Fiskveiðar (B),2576,2729,2987,3122,3561,3269,2795,2982
Vestfirðir,Fiskvinnsla (DA 1520),1527,1706,1821,2019,2278,2392,2714,2864
Vestfirðir,Opinber stjórnsýsla (L),1648,1748,1789,2021,2239,2532,2732,3020
Norðurland vestra,Alls,1556,1702,1789,1983,2163,2237,2262,2456
Norðurland vestra,Landbúnaður (A),601,641,662,803,898,952,657,474
Norðurland vestra,Fiskveiðar (B),3404,3601,3634,3942,4479,4184,4890,4294
Norðurland vestra,Fiskvinnsla (DA 1520),1962,2425,2460,2702,2995,2938,2567,3286
Norðurland vestra,Opinber stjórnsýsla (L),1556,1684,1733,1975,2205,2323,2508,2928
Norðurland eystra,Alls,1694,1813,1915,2162,2344,2402,2463,2667
Norðurland eystra,Landbúnaður (A),755,795,854,1080,1187,1195,961,823
Norðurland eystra,Fiskveiðar (B),4130,4195,4021,4994,5428,4814,5089,5226
Norðurland eystra,Fiskvinnsla (DA 1520),1435,1607,1769,1973,2105,2275,2698,2767
Norðurland eystra,Opinber stjórnsýsla (L),1507,1666,1766,2016,2222,2357,2397,2742
Austurland,Alls,1704,1791,1914,2160,2369,2446,2590,2916
Austurland,Landbúnaður (A),685,737,777,900,979,1064,838,755
Austurland,Fiskveiðar (B),3364,3384,3470,4348,5184,4331,4044,3801
Austurland,Fiskvinnsla (DA 1520),1846,1992,2155,2405,2605,2963,3000,3197
Austurland,Opinber stjórnsýsla (L),1630,1822,1943,2187,2333,2504,2988,2964
Suðurland,Alls,1617,1727,1840,2067,2208,2298,2287,2459
Suðurland,Landbúnaður (A),842,911,978,1144,1239,1330,1089,979
Suðurland,Fiskveiðar (B),3935,3890,3676,4428,5112,4782,4950,4979
Suðurland,Fiskvinnsla (DA 1520),1520,1652,1687,2012,2061,2232,2089,2758
Suðurland,Opinber stjórnsýsla (L),1470,1608,1744,1920,2132,2266,2320,2798
Suðurnes,Alls,1876,2001,2138,2345,2498,2575,2508,2739
Suðurnes,Landbúnaður (A),1507,1786,1892,2059,2166,2415,2473,2603
Suðurnes,Fiskveiðar (B),3262,3149,3246,4022,4391,4039,3769,3911
Suðurnes,Fiskvinnsla (DA 1520),1386,1528,1786,2040,2257,2430,2656,2889
Suðurnes,Opinber stjórnsýsla (L),1641,1744,1854,2028,2339,2429,2539,3408
Utan skrár,Alls,1236,1285,1662,1840,1782,2132,2275,2607
Utan skrár,Landbúnaður (A),638,682,756,888,1079,1071,1121,1378
Utan skrár,Fiskveiðar (B),2040,1839,2164,4029,2951,2968,4110,4244
Utan skrár,Fiskvinnsla (DA 1520),834,1069,1264,1389,1782,2252,1978,2441
Utan skrár,Opinber stjórnsýsla (L),1196,1202,1208,1273,1620,2088,994,2088
