Sveitarfélag;2002;2014
Alls;12109;26221
Reykjavíkurborg;12745;30346
Kópavogsbær;8201;14623
Seltjarnarneskaupstaður;8370;21325
Garðabær;5365;11267
Hafnarfjarðarkaupstaður;9531;12825
Mosfellsbær;8529;15527
Kjósarhreppur;29912;42697
Reykjanesbær;8302;22186
Grindavíkurbær;20147;23251
Sandgerðisbær;8436;25827
Sveitarfélagið Garður;5889;27932
Sveitarfélagið Vogar;6471;28518
Akraneskaupstaður;17122;27097
Skorradalshreppur;0;0
Hvalfjarðarsveit;34879;41924
Borgarbyggð;13448;33072
Grundarfjarðarbær;12178;21599
Helgafellssveit;0;0
Stykkishólmsbær;14692;37431
Eyja- og Miklaholtshreppur;17618;14688
Snæfellsbær;16823;23516
Dalabyggð;22822;74379
Bolungarvíkurkaupstaður;24306;33427
Ísafjarðarbær;11078;31427
Reykhólahreppur;16380;32116
Tálknafjarðarhreppur;5350;26021
Vesturbyggð;14475;41974
Súðavíkurhreppur;3260;41438
Árneshreppur;153;43645
Kaldrananeshreppur;7273;24822
Strandabyggð;13411;49242
Sveitarfélagið Skagafjörður;12922;33350
Húnaþing vestra;23079;50165
Blönduósbær ;13769;28735
Sveitarfélagið Skagaströnd;10811;33929
Skagabyggð;29752;51892
Húnavatnshreppur;28735;31784
Akrahreppur;0;89289
Akureyrarkaupstaður;13734;38005
Norðurþing;9758;18018
Fjallabyggð;14979;30991
Dalvíkurbyggð;8021;44132
Eyjafjarðarsveit;16579;35550
Hörgársveit;11233;47072
Svalbarðsstrandarhreppur;4145;13095
Grýtubakkahreppur;11537;11826
Skútustaðahreppur;29629;40816
Tjörneshreppur;15761;55779
Þingeyjarsveit;17954;56271
Svalbarðshreppur;4792;8765
Langanesbyggð;14092;30197
Seyðisfjarðarkaupstaður;16446;53569
Fjarðabyggð;18680;35580
Vopnafjarðarhreppur;13033;31219
Fljótsdalshreppur;7798;144026
Borgarfjarðarhreppur;23679;9000
Breiðdalshreppur;9857;28352
Djúpavogshreppur;9742;17770
Fljótsdalshérað;9346;31826
Sveitarfélagið Hornafjörður;13250;28110
Vestmannaeyjabær;13849;30041
Sveitarfélagið Árborg;10683;18174
Mýrdalshreppur;13817;40234
Skaftárhreppur;23294;38149
Ásahreppur;13993;18463
Rangárþing eystra;30810;75049
Rangárþing ytra;13521;14296
Hrunamannahreppur;5779;22703
Hveragerðisbær;9336;21362
Sveitarfélagið Ölfus;24421;32900
Grímsnes- og Grafningshreppur;25470;37762
Skeiða- og Gnúpverjahreppur;29293;76853
Bláskógabyggð;19352;13907
Flóahreppur;23419;69636
