Landsvæði;Íbúafjöldi;Grunnstig fjöldi;Framhalds- og viðbótarstig fjöldi;Grunnstig hlutfall;Framhalds- og viðbótarstig hlutfall
Alls;325671;42734;24532;13.12%;7.53%
Höfuðborgarsvæði;208752;26643;15042;12.76%;7.21%
Reykjavík;121230;14177;8417;11.69%;6.94%
Suðurnes;21560;3098;1631;14.37%;7.56%
Vesturland;14824;2195;1311;14.81%;8.84%
Vestfirðir;6466;882;549;13.64%;8.49%
Norðurland vestra;6836;1006;621;14.72%;9.08%
Norðurland eystra;26550;4028;2370;15.17%;8.93%
Austurland;12524;1658;1033;13.24%;8.25%
Suðurland;23455;3224;1975;13.75%;8.42%
