"Mannfjöldi eftir kyni, sveitarfélagi og ríkisfangi 1. janúar 1998-2015",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sveitarfélag,Ríkisfang,Alls 1998,Alls 1999,Alls 2000,Alls 2001,Alls 2002,Alls 2003,Alls 2004,Alls 2005,Alls 2006,Alls 2007,Alls 2008,Alls 2009,Alls 2010,Alls 2011,Alls 2012,Alls 2013,Alls 2014,Alls 2015
Alls,Alls,272381,275712,279049,283361,286575,288471,290570,293577,299891,307672,315459,319368,317630,318452,319575,321857,325671,329100
Alls,Ísland,266746,269191,271778,274537,276725,278250,280390,282941,286113,289109,292038,294989,295929,297309,298618,300411,302927,304806
Reykjavík,Alls,107341,108484,109887,111544,112411,112554,113288,113848,114968,116642,118827,119547,118326,118898,118814,119764,121230,121822
Reykjavík,Ísland,104920,105785,106836,107693,107931,107859,108566,109148,109544,109810,109111,108818,108771,109380,109623,110414,111399,111512
Kópavogur,Alls,19867,21508,22693,23647,24291,25016,25352,25803,26512,27525,28885,29976,30357,30779,31205,31726,32308,33205
Kópavogur,Ísland,19524,21112,22236,23017,23563,24264,24647,25088,25688,26395,27178,28012,28581,29035,29448,29932,30436,31048
Seltjarnarnes,Alls,4602,4698,4665,4673,4659,4608,4577,4548,4471,4471,4454,4403,4395,4320,4313,4322,4381,4411
Seltjarnarnes,Ísland,4508,4594,4559,4564,4548,4503,4469,4439,4377,4334,4286,4212,4194,4125,4113,4128,4180,4207
Garðabær,Alls,9216,9316,9378,9611,10213,10475,10764,11085,11649,11832,12360,12876,13166,13393,13702,13872,14180,14453
Garðabær,Ísland,9053,9157,9228,9443,10006,10266,10552,10869,11358,11498,11924,12404,12740,12991,13301,13477,13759,13994
Hafnarfjörður,Alls,18196,18656,19158,19688,20264,20720,21207,22000,22498,23751,25036,25850,25913,26099,26486,26808,27357,27875
Hafnarfjörður,Ísland,17957,18366,18776,19200,19710,20141,20641,21462,21847,22784,23460,24011,24247,24427,24747,24993,25352,25815
Mosfellsbær,Alls,5246,5540,5869,6113,6323,6473,6589,6817,7165,7516,8192,8403,8553,8642,8854,8978,9075,9300
Mosfellsbær,Ísland,5178,5464,5780,6006,6203,6338,6466,6697,7037,7307,7633,7937,8152,8287,8514,8630,8725,8953
Kjósarhreppur,Alls,138,142,142,151,140,146,140,143,163,182,191,196,197,210,220,205,221,216
Kjósarhreppur,Ísland,135,139,139,146,137,145,138,140,156,174,181,185,185,201,208,194,209,205
Reykjanesbær,Alls,10405,10443,10624,10856,10937,10923,10908,10952,11367,11952,13440,14172,14091,13971,14137,14231,14527,14924
Reykjanesbær,Ísland,10226,10243,10370,10533,10566,10547,10554,10583,10922,11140,12073,12813,12763,12721,12907,12963,13134,13340
Grindavíkurbær,Alls,2134,2179,2242,2314,2341,2379,2434,2494,2614,2701,2779,2850,2837,2821,2830,2860,2888,2995
Grindavíkurbær,Ísland,2103,2121,2169,2209,2224,2248,2314,2392,2499,2546,2591,2638,2610,2612,2619,2639,2664,2689
Sandgerði,Alls,1319,1336,1325,1359,1400,1401,1389,1398,1538,1660,1749,1754,1710,1683,1672,1581,1609,1580
Sandgerði,Ísland,1283,1292,1255,1267,1300,1305,1284,1295,1391,1467,1528,1527,1491,1459,1448,1355,1355,1332
Sveitarfélagið Garður,Alls,1141,1186,1183,1218,1213,1233,1290,1329,1377,1487,1460,1550,1515,1452,1477,1429,1409,1425
Sveitarfélagið Garður,Ísland,1088,1108,1097,1117,1107,1110,1162,1195,1235,1308,1296,1352,1344,1301,1318,1274,1245,1248
Sveitarfélagið Vogar,Alls,716,715,732,784,839,866,932,937,1019,1112,1231,1218,1206,1161,1126,1105,1127,1102
Sveitarfélagið Vogar,Ísland,693,682,691,742,788,808,878,892,968,1048,1147,1125,1129,1076,1045,1035,1051,1011
Akranes,Alls,5125,5186,5340,5450,5510,5595,5588,5657,5786,5976,6401,6609,6549,6623,6592,6625,6699,6767
Akranes,Ísland,5067,5116,5276,5362,5429,5508,5481,5563,5677,5781,6039,6162,6161,6240,6196,6205,6261,6332
Skorradalshreppur,Alls,52,53,45,47,57,65,55,64,64,56,61,57,61,57,60,57,58,62
Skorradalshreppur,Ísland,52,53,45,47,57,65,54,64,64,56,58,57,61,57,60,57,58,61
Hvalfjarðarsveit,Alls,545,538,547,555,557,548,562,560,605,608,686,641,624,617,627,610,617,635
Hvalfjarðarsveit,Ísland,541,533,539,541,544,533,547,548,562,565,610,604,589,583,591,580,587,600
Borgarbyggð,Alls,3259,3297,3296,3353,3411,3413,3471,3446,3640,3710,3781,3744,3542,3476,3470,3469,3535,3539
Borgarbyggð,Ísland,3215,3240,3240,3282,3338,3336,3401,3380,3487,3512,3483,3443,3347,3317,3318,3310,3360,3357
Grundarfjarðarbær,Alls,922,936,952,949,965,969,934,938,975,949,918,925,904,903,899,905,872,900
Grundarfjarðarbær,Ísland,861,878,880,875,886,894,866,872,883,864,816,795,789,776,780,768,753,766
Helgafellssveit,Alls,65,65,56,56,58,56,52,47,54,58,58,60,63,61,57,58,53,53
Helgafellssveit,Ísland,65,65,56,56,57,55,51,46,53,57,57,59,62,59,55,55,50,50
