Vistrými fyrir aldraða á stofnunum eftir landsvæðum 1993-2010,,,,,,,,,,,,
,,,,,,,,,,,,
Ár,Vistrými,Alls,Höfuðborgarsvæði,Reykjavík,Önnur sveitarfélög á höfuðborgarsvæði,Suðurnes,Vesturland,Vestfirðir,Norðurland vestra,Norðurland eystra,Austurland,Suðurland
1993,Vistrými alls,3242,1583,1192,391,98,250,103,200,430,174,404
1994,Vistrými alls,3285,1604,1208,396,112,256,99,190,437,175,412
1995,Vistrými alls,3296,1606,1204,402,109,247,100,200,443,170,421
1996,Vistrými alls,3163,1535,1130,405,109,249,87,177,441,169,396
1997,Vistrými alls,3225,1619,1212,407,107,247,90,174,427,166,395
1998,Vistrými alls,3181,1637,1240,397,110,248,90,183,391,165,357
1999,Vistrými alls,3251,1670,1269,401,109,244,86,186,400,184,372
2000,Vistrými alls,3265,1696,1265,431,109,244,83,190,400,179,364
2001,Vistrými alls,3226,1691,1261,430,100,252,84,185,385,173,356
2002,Vistrými alls,3232,1705,1272,433,99,258,74,186,377,170,363
2003,Vistrými alls,3342,1767,1268,499,98,252,88,167,415,185,370
2004,Vistrými alls,3402,1849,1346,503,98,239,90,173,415,162,376
2005,Vistrými alls,3397,1848,1346,502,95,243,84,163,412,161,391
2006,Vistrými alls,3458,1824,1348,476,96,258,86,174,453,163,404
2007,Vistrými alls,3383,1778,1302,476,93,270,88,173,438,159,384
2008,Vistrými alls,3461,1873,1397,476,93,268,110,169,393,154,401
2009,Vistrými alls,3369,1811,1335,476,92,259,110,157,393,152,395
2010,Vistrými alls,3125,1694,1245,449,92,215,86,153,358,148,379
