NAME,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alls,85661,86116,87137,88076,89059,89819,91368,91897,92855,94436,95180,96386,97704,98483,100117,101730,103327,104812,106360,108629,109844,111555,113366,114743,115870,116880,117692,118888,120264,121579,122385,123996,125967,127791,130356,132750,135935,138502,141042,144293,146540,148978,152506,156033,159480,162700,166831,170156,173855,177292,180058,183478,186912,190230,193758,196933,199920,202191,203442,204578,207174,210775,213499,216628,219033,220918,222470,224384,226724,229187,231958,235453,238175,240443,242089,244009,247357,251690,253500,255708,-,-,-,-,-,-,272064,275277,278702,282845,286275,288201,290490,293291,299404,307261,312872,319756,317593,318236,319412,321585,325449,328910
Reykjavík,12239,12665,13354,13771,14160,14677,15020,15328,16154,17450,18218,19194,20148,20657,22022,23190,24304,25217,26428,28052,28847,30565,31689,32974,34231,35300,36103,37366,38219,38308,39739,40902,42815,44281,46578,48954,51690,53384,54707,55980,57514,58761,60124,62035,63856,65305,67589,69268,71037,72407,73388,74978,76401,77220,78399,79202,80090,81026,81476,81693,82892,83977,84333,84772,84856,84493,83887,83376,83536,83766,84593,86092,87309,88745,89868,91497,93425,95811,96708,97569,,,,,,,106617,108362,109795,111342,112276,112490,113387,113730,114800,116446,117721,119848,118427,118908,118785,119632,121116,121814
Suðvesturland,3230,3346,3382,3385,3436,3465,3548,3487,3687,3991,4121,4154,4122,4353,4609,4783,4937,5230,5506,5802,6049,5410,5542,5562,5494,5526,5498,5452,5360,5533,5628,5879,5903,622,6634,7281,7597,7958,8557,9100,9425,9894,10878,11752,12660,13603,14371,15109,15973,17086,17921,18671,19670,21122,22550,24094,25513,26466,26930,27545,28390,29787,30614,32126,33378,34235,35025,36146,37038,37932,38985,40183,41125,41977,42642,43276,44516,46127,47156,48411,,,,,,,57758,59594,61719,62724,65754,67291,68501,70260,72305,75166,78440,81737,82425,83278,84600,85792,87444,89290
Reykjanes,2541,2514,2536,2538,2537,2545,2545,2497,2498,2497,2523,2517,2531,2518,2532,2588,2603,2670,2669,2820,2793,2886,2981,3086,3227,3197,3238,3229,3396,3472,3517,3580,3738,3918,4127,4237,4380,4534,4682,5058,5312,5559,6312,6995,7564,7883,8110,8489,8673,8924,9138,9161,9438,9703,9880,10147,10122,10257,10392,10584,10848,11183,11469,11818,11957,12190,12596,12806,12987,13302,13628,13868,14130,14251,14281,14334,14603,14949,15082,15202,,,,,,,15685,15823,16050,16491,16725,16793,16932,17092,17899,18880,20415,21564,21348,21052,21261,21196,21555,22022
Vesturland,10351,10288,10274,10303,10198,10220,10337,10365,10262,10167,10077,9913,9883,9839,9688,9666,9750,9697,9679,9636,9743,9780,9795,9815,9731,9747,9690,9683,9769,9927,9792,9808,9890,9867,9902,9843,9923,9934,10030,10065,10235,10470,10644,10788,11001,11266,11452,11592,11803,11973,12098,12340,12561,12794,12998,13041,13159,13191,13232,13205,13199,13402,13649,13862,14051,14047,14106,14236,14537,14884,14987,15109,15115,15010,14996,14941,14936,14817,14685,14537,,,,,,,13934,13962,14056,14263,14449,14495,14431,14418,14863,14409,14769,15079,14759,14754,14752,14786,14817,14916
Vestfirðir,13169,13120,13056,13057,13067,13064,13324,13315,13412,13443,13260,13316,13320,13284,13235,13295,13213,13193,13131,13133,13140,13286,13489,13361,13192,13160,13063,12991,13045,13130,13028,12966,12627,12482,12267,11949,11690,11492,11394,11300,11157,11019,10937,10753,10574,10563,10500,10444,10458,10507,10560,10530,10586,10532,10435,10380,10346,10253,10138,10050,9927,9925,9983,9940,9998,10080,10180,10290,10363,10479,10513,10452,10426,10417,10262,10230,10217,10097,9840,9798,,,,,,,8634,8590,8308,8150,8012,7930,7835,7698,7546,6963,6809,6884,6857,6628,6541,6508,6485,6491
Norðurland vestra,9103,9094,9114,9189,9288,9382,9619,9700,9824,9811,9800,9727,9751,9756,9726,9727,9846,9916,9914,10023,10035,10151,10205,10317,10349,10396,10429,10392,10565,10618,10429,10246,10194,10129,10093,10120,10068,10218,10294,10400,10379,10329,10284,10189,10134,10121,10248,10149,10248,10241,10317,10360,10297,10264,10267,10137,10046,9976,10000,9909,9917,9887,10016,10090,10090,10203,10319,10526,10595,10631,10723,10770,10710,10807,10808,10690,10646,10551,10450,10446,,,,,,,8172,7973,7888,7873,7800,7757,7713,7598,7526,6989,6908,6969,6971,6961,6797,6857,6833,6720
Norðurland eystra,11911,11926,12012,12161,12403,12578,12772,12931,12957,13047,13187,13346,13582,13530,13662,13722,13951,14201,14509,14924,14937,15095,15369,15568,15660,15724,15965,16185,16386,16816,16819,17083,17272,17306,17359,17266,17511,17826,18102,18716,18615,18631,18798,18868,18897,18966,19167,19227,19403,19769,20059,20474,20745,20964,21150,21497,21664,21856,22113,22225,22420,22760,23235,23572,23917,24322,24794,25086,25416,25700,25886,26087,26190,25963,25955,25786,25925,26075,26107,26127,,,,,,,28371,28254,28066,28181,28279,28355,28382,28404,28477,25776,26130,26420,26308,26464,26478,26489,26536,26719
Austurland,9617,9581,9730,9905,10159,10112,10291,10335,10220,10245,10224,10322,10466,10528,10578,10702,10743,10712,10620,10545,10465,10439,10487,10476,10419,10301,10245,10175,10111,10220,10145,10110,10112,10016,9820,9743,9783,9764,9794,9848,9877,9973,9945,9892,9879,9917,10049,10234,10281,10367,10504,10664,10753,10812,11017,11113,11256,11244,11274,11315,11316,11472,11758,11919,12004,12260,12377,12578,12763,12856,12953,13068,13093,13107,13143,13157,13096,13167,13243,13216,,,,,,,12397,12145,11977,11768,11654,11617,11756,12298,13585,15350,13901,12882,12451,12306,12359,12433,12545,12507
Suðurland,12008,11930,11964,11973,11909,11818,11907,11906,11687,11491,11324,11292,11193,11064,10881,10726,10610,10645,10535,10314,10365,10482,10347,10126,10057,10056,9981,9909,9971,10034,9878,9909,9892,9959,9988,9879,9815,9891,9934,10127,10279,10458,10598,10691,10802,10852,11013,11219,11370,11375,11371,11480,11640,11860,12050,12320,12708,12888,12813,12866,13034,13079,13536,14133,14361,14520,14568,14706,14766,14910,14938,15167,15334,15357,15347,15304,15294,15353,15415,15476,,,,,,,20496,20574,20843,21119,21326,21473,21553,21793,22403,22366,22902,23584,23286,23215,23123,23191,23411,23737
